inventory_numbers;tag_inv;NURI;NURI_tag;taxonomy_1;tag_tax_1;taxonomy_2;tag_tax_2;location;tag_loc;stratigraphy;tag_str;author;author_tag;year;year_tag;old_inventory;old_inventory_tag;collector;collector_tag;determiner;determiner_tag
MB.I.0033;INV;http://coll.mfn-berlin.de/u/e4dae9;O;Elcana;GEN;pygmaea;SPE;Dobbertin, Mecklenburg-Vorpommern, Deutschland;LOC;Posidonienschiefer, Lias Ꜫ, Toarcium, Lias, Jura;STR;Handlirsch;O;1939;O;12;O;Coll. Uni Rostock;O;;O
MB.I.0037.1;INV;http://coll.mfn-berlin.de/u/e4daa6;O;Elcana;GEN;geinitzi;SPE;Dobbertin, Mecklenburg-Vorpommern, Deutschland;LOC;Posidonienschiefer, Lias Ꜫ, Toarcium, Lias, Jura;STR;Handlirsch;O;1939;O;17;O;Coll. Uni Rostock;O;;O
MB.I.0038;INV;http://coll.mfn-berlin.de/u/e4dabf;O;Chrysoforthris;GEN;veterana;SPE;Dobbertin, Mecklenburg-Vorpommern, Deutschland;LOC;Posidonienschiefer, Lias Ꜫ, Toarcium, Lias, Jura;STR;Handlirsch;O;1939;O;20;O;Coll. Uni Rostock;O;;O
MB.I.0051;INV;http://coll.mfn-berlin.de/u/94044a;O;Isophlebia;GEN;aspasia;SPE;Dobbertin, Mecklenburg-Vorpommern, Deutschland;LOC;Posidonienschiefer, Lias Ꜫ, Toarcium, Lias, Jura;STR;Handlirsch;O;1939;O;13;O;Coll. Uni Rostock;O;;O
MB.I.15.3.b;INV;http://coll.mfn-berlin.de/u/e4da3d;O;Pycnophlebia;GEN;speciosa;SPE;Dobbertin, Mecklenburg-Vorpommern, Deutschland;LOC;Posidonienschiefer, Lias Ꜫ, Toarcium, Lias, Jura;STR;Geinitz;O;1880;O;;O;Coll. Uni Rostock;O;;O
MB.I.1657.b;INV;http://coll.mfn-berlin.de/u/25ee5f;O;Pycnophlebia;GEN;speciosa;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Heyden;O;;O;65;O;Slg. Redenbacher;O;det. Assmann;O
MB.I.1658;INV;http://coll.mfn-berlin.de/u/648686;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen;LOC;Oberer Malm;STR;Hagen;O;1866;O;;O;;O;;O
MB.I.1659.a;INV;http://coll.mfn-berlin.de/u/94082e;O;Cymatophlebia;GEN;longialata;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;148,  Inv,-Nr.1995.4;O;leg. Kaufmann, 07.05.1977;O;;O
MB.I.1659.b;INV;http://coll.mfn-berlin.de/u/9407f8;O;Stenophlebia;GEN;latreillei;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;147, Inv,-Nr.1995.4;O;leg. Kaufmann, 07.05.1977;O;;O
MB.I.1699;INV;http://coll.mfn-berlin.de/u/ce9446;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Germar;O;1839;O;;O;Coll. Meusebach;O;det. Bechly, Nov. 1996;O
MB.I.1700;INV;http://coll.mfn-berlin.de/u/a94781;O;Tarsophlebia;GEN;eximia;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Germar;O;1839;O;;O;Slg. Schlotheim;O;det. Bechly, Nov. 1996;O
MB.I.1701.a;INV;http://coll.mfn-berlin.de/u/975d4b;O;Tarsophlebia;GEN;eximia;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;21;O;Coll. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1701.b;INV;http://coll.mfn-berlin.de/u/f0b1ce;O;Tarsophlebia;GEN;eximia;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;87;O;Coll. Häberlein 1880;O;det. Bechly, Nov. 1996;O
